selector,support_f1,support_precision,support_recall,budget_utilization
Oracle,1.0,1.0,1.0,0.9441796875
"Single-Path Walk (ST, la2)",0.4139047064047064,0.31014826839826837,0.73,0.9709765625
Dense (top-1),0.38630264937083114,0.31070813656040924,0.6022727272727273,0.9678178267045454
Iter. Dense (top-3),0.3747941452486907,0.2964556277056277,0.6022727272727273,0.9811345880681818
MDR-Light (top-3),0.36734729916548103,0.2870670995670995,0.6022727272727273,0.98046875
Dense (top-3),0.36860784417602593,0.2885490456513184,0.6022727272727273,0.9801580255681818
Full Corpus,0.004826999387678825,0.00242,1.0,404.73828125
